yourlist:M2018113014483A1C7ED25EE8374758DF3FD545FD0520569	isomap:M2018113014483A1C7ED25EE8374758DF3FD545FD0520569	Status	yourlist:M2018113014483A1C7ED25EE8374758DF3FD545FD051FAA9	isomap:M2018113014483A1C7ED25EE8374758DF3FD545FD051FAA9	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
"NM_010265,NM_173442"		reviewed	"NM_010265,NM_173442"		Q09324	GCNT1_MOUSE	reviewed	"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.102) (Core 2-branching enzyme) (Core2-GlcNAc-transferase) (C2GNT)"	Gcnt1	Mus musculus (Mouse)	428
NM_133219		unreviewed	NM_133219		Q7TPQ8	Q7TPQ8_MOUSE	unreviewed	"Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I-branching beta-1,6-acetylglucosaminyltransferase family polypeptide 3) (N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase)"	Gcnt2 Ignt3	Mus musculus (Mouse)	401
NM_028087		reviewed	NM_028087		Q5JCT0	GCNT3_MOUSE	reviewed	"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3 (EC 2.4.1.102) (EC 2.4.1.148) (EC 2.4.1.150) (C2GnT-mucin type) (C2GnT-M) (Mucus-type core 2 beta-1,6-N-acetylglucosaminyltransferase)"	Gcnt3	Mus musculus (Mouse)	437
NM_010687		unreviewed	NM_010687		Q059X9	Q059X9_MOUSE	unreviewed	Like-glycosyltransferase	Large1 Large mCG_141327	Mus musculus (Mouse)	756
NM_010687		reviewed	NM_010687		Q9Z1M7	LARG1_MOUSE	reviewed	"LARGE xylosyl- and glucuronyltransferase 1 (EC 2.4.-.-) (Acetylglucosaminyltransferase-like 1A) (Glycosyltransferase-like protein) [Includes: Xylosyltransferase LARGE (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE (EC 2.4.1.-)]"	Large1 Kiaa0609 Large	Mus musculus (Mouse)	756
NM_008494		unreviewed	NM_008494		B2RRW2	B2RRW2_MOUSE	unreviewed	"Beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)"	Lfng mCG_14497	Mus musculus (Mouse)	378
NM_008494		reviewed	NM_008494		O09010	LFNG_MOUSE	reviewed	"Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)"	Lfng	Mus musculus (Mouse)	378
NM_008595		reviewed	NM_008595		O09008	MFNG_MOUSE	reviewed	"Beta-1,3-N-acetylglucosaminyltransferase manic fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)"	Mfng	Mus musculus (Mouse)	321
NM_008595		unreviewed	NM_008595		Q3UPI0	Q3UPI0_MOUSE	unreviewed	"Beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)"	Mfng	Mus musculus (Mouse)	321
NM_010794		reviewed	NM_010794		P27808	MGAT1_MOUSE	reviewed	"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)"	Mgat1 Gnt1	Mus musculus (Mouse)	447
NM_010794		unreviewed	NM_010794		Q544F0	Q544F0_MOUSE	unreviewed	"Mannoside acetylglucosaminyltransferase 1, isoform CRA_a"	Mgat1 mCG_14414	Mus musculus (Mouse)	447
NM_146035		reviewed	NM_146035		Q921V5	MGAT2_MOUSE	reviewed	"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.143) (Beta-1,2-N-acetylglucosaminyltransferase II) (GlcNAc-T II) (GNT-II) (Mannoside acetylglucosaminyltransferase 2) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II)"	Mgat2	Mus musculus (Mouse)	442
NM_010795		unreviewed	NM_010795		Q5RKT9	Q5RKT9_MOUSE	unreviewed	"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (Mannoside acetylglucosaminyltransferase 3)"	Mgat3	Mus musculus (Mouse)	538
NM_173870	NM_173870 -> Q812G0-1	reviewed	NM_173870	NM_173870 -> Q812G0-1	Q812G0	MGT4A_MOUSE	reviewed	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (GlcNAc-T IVa) (GnT-IVa) (N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa) [Cleaved into: Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A soluble form]"	Mgat4a	Mus musculus (Mouse)	535
NM_145926		reviewed	NM_145926		Q812F8	MGT4B_MOUSE	reviewed	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVb) (GlcNAc-T IVb) (GnT-IVb) (N-acetylglucosaminyltransferase IVb) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVb)"	Mgat4b	Mus musculus (Mouse)	548
NM_026243		reviewed	NM_026243		Q9D306	MGT4C_MOUSE	reviewed	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVc) (GnT-IVc) (N-acetylglucosaminyltransferase IVc) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVc)"	Mgat4c	Mus musculus (Mouse)	478
NM_145128		unreviewed	NM_145128		Q059T5	Q059T5_MOUSE	unreviewed	Mannoside acetylglucosaminyltransferase 5	Mgat5 mCG_13935	Mus musculus (Mouse)	740
NM_145128		reviewed	NM_145128		Q8R4G6	MGT5A_MOUSE	reviewed	"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V) [Cleaved into: Secreted alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Secreted beta-1,6-N-acetylglucosaminyltransferase V) (Secreted GNT-V)]"	Mgat5	Mus musculus (Mouse)	740
NM_139144	NM_139144 -> Q8CGY8-1	reviewed	NM_139144	NM_139144 -> Q8CGY8-1	Q8CGY8	OGT1_MOUSE	reviewed	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	Ogt	Mus musculus (Mouse)	1046
NM_019543		reviewed	NM_019543		Q9JHG1	PIGP_MOUSE	reviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P (EC 2.4.1.198) (Down syndrome critical region protein 5 homolog) (Phosphatidylinositol-glycan biosynthesis class P protein) (PIG-P)	Pigp Dcrc Dscr5	Mus musculus (Mouse)	132
NM_029786	NM_029786 -> Q91X88-3	reviewed	NM_029786	NM_029786 -> Q91X88-3	Q91X88	PMGT1_MOUSE	reviewed	"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 (POMGnT1) (EC 2.4.1.-)"	Pomgnt1	Mus musculus (Mouse)	660
NM_009053		reviewed	NM_009053		O09009	RFNG_MOUSE	reviewed	"Beta-1,3-N-acetylglucosaminyltransferase radical fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)"	Rfng	Mus musculus (Mouse)	332
NM_025442		reviewed	NM_025442		Q9DB25	ALG5_MOUSE	reviewed	Dolichyl-phosphate beta-glucosyltransferase (DolP-glucosyltransferase) (EC 2.4.1.117) (Asparagine-linked glycosylation protein 5 homolog)	Alg5	Mus musculus (Mouse)	324
NM_001081264		reviewed	NM_001081264		Q3TAE8	ALG6_MOUSE	reviewed	"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6 homolog) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)"	Alg6	Mus musculus (Mouse)	507
NM_199035		reviewed	NM_199035		Q6P8H8	ALG8_MOUSE	reviewed	"Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.265) (Asparagine-linked glycosylation protein 8 homolog) (Dol-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichyl alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Glc1Man9GlcNAc2-PP-dolichyl glucosyltransferase)"	Alg8 Gm1089	Mus musculus (Mouse)	526
NM_001033441		reviewed	NM_001033441		Q3UGP8	AG10B_MOUSE	reviewed	"Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-B) (Asparagine-linked glycosylation protein 10 homolog B)"	Alg10b	Mus musculus (Mouse)	474
NM_172124	NM_172124 -> P59270-1	reviewed	NM_172124	NM_172124 -> P59270-1	P59270	B3GA2_MOUSE	reviewed	"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 2) (GlcAT-D) (UDP-glucuronosyltransferase S) (GlcAT-S) (Glucuronosyltransferase S)"	B3gat2 Glcats	Mus musculus (Mouse)	324
NM_011673		reviewed	NM_011673		O88693	CEGT_MOUSE	reviewed	Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase)	Ugcg	Mus musculus (Mouse)	394
NM_198899		reviewed	NM_198899		Q6P5E4	UGGG1_MOUSE	reviewed	UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1)	Uggt1 Gt Ugcgl1 Uggt Ugt1 Ugtr	Mus musculus (Mouse)	1551
NM_001081252		unreviewed	NM_001081252		E9Q4X2	E9Q4X2_MOUSE	unreviewed	UDP-glucose glycoprotein glucosyltransferase 2	Uggt2	Mus musculus (Mouse)	1504
NM_024256		reviewed	NM_024256		P58158	B3GA3_MOUSE	reviewed	"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 3) (Glucuronosyltransferase I) (GlcAT-I) (UDP-GlcUA:Gal beta-1,3-Gal-R glucuronyltransferase) (GlcUAT-I)"	B3gat3	Mus musculus (Mouse)	335
NM_201410		unreviewed	NM_201410		K9J7B2	K9J7B2_MOUSE	unreviewed	UDP-glucuronosyltransferase (EC 2.4.1.17)	Ugt1a6b	Mus musculus (Mouse)	531
NM_201641		unreviewed	NM_201641		E9PXN7	E9PXN7_MOUSE	unreviewed	UDP-glucuronosyltransferase (EC 2.4.1.17)	Ugt1a10	Mus musculus (Mouse)	530
NM_201641		unreviewed	NM_201641		Q5FW80	Q5FW80_MOUSE	unreviewed	UDP-glucuronosyltransferase (EC 2.4.1.17)	Ugt1a10	Mus musculus (Mouse)	530
NM_201641		unreviewed	NM_201641		Q6XL43	Q6XL43_MOUSE	unreviewed	UDP-glucuronosyltransferase (EC 2.4.1.17)	Ugt1a10 Ugt1a13	Mus musculus (Mouse)	530
NM_001024148		reviewed	NM_001024148		Q6PDD0	UD2A2_MOUSE	reviewed	UDP-glucuronosyltransferase 2A2 (UDPGT 2A2) (EC 2.4.1.17)	Ugt2a2	Mus musculus (Mouse)	528
NM_053184		reviewed	NM_053184		Q80X89	UD2A1_MOUSE	reviewed	UDP-glucuronosyltransferase 2A1 (UDPGT 2A1) (EC 2.4.1.17)	Ugt2a1	Mus musculus (Mouse)	528
NM_009467		unreviewed	NM_009467		Q3UWB9	Q3UWB9_MOUSE	unreviewed	Uncharacterized protein	Ugt2b5	Mus musculus (Mouse)	541
NM_009467		unreviewed	NM_009467		Q8K169	Q8K169_MOUSE	unreviewed	UDP-glucuronosyltransferase (EC 2.4.1.17)	Ugt2b5 mCG_1789	Mus musculus (Mouse)	530
NM_010162		reviewed	NM_010162		P97464	EXT1_MOUSE	reviewed	Exostosin-1 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 1 homolog)	Ext1	Mus musculus (Mouse)	746
NM_010162		unreviewed	NM_010162		Q3V1P4	Q3V1P4_MOUSE	unreviewed	"Exostoses (Multiple) 1, isoform CRA_a"	Ext1 mCG_114525	Mus musculus (Mouse)	746
NM_010163		reviewed	NM_010163		P70428	EXT2_MOUSE	reviewed	Exostosin-2 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 2 homolog)	Ext2	Mus musculus (Mouse)	718
NM_010163		unreviewed	NM_010163		Q3UDB5	Q3UDB5_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Ext2	Mus musculus (Mouse)	786
NM_008215		unreviewed	NM_008215		Q3UUP6	Q3UUP6_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Has1	Mus musculus (Mouse)	358
NM_008215		reviewed	NM_008215		Q61647	HYAS1_MOUSE	reviewed	Hyaluronan synthase 1 (EC 2.4.1.212) (Hyaluronate synthase 1) (Hyaluronic acid synthase 1) (HA synthase 1)	Has1 Has	Mus musculus (Mouse)	583
NM_008216		reviewed	NM_008216		P70312	HYAS2_MOUSE	reviewed	Hyaluronan synthase 2 (EC 2.4.1.212) (Hyaluronate synthase 2) (Hyaluronic acid synthase 2) (HA synthase 2)	Has2	Mus musculus (Mouse)	552
NM_008217		reviewed	NM_008217		O08650	HYAS3_MOUSE	reviewed	Hyaluronan synthase 3 (EC 2.4.1.212) (Hyaluronate synthase 3) (Hyaluronic acid synthase 3) (HA synthase 3)	Has3	Mus musculus (Mouse)	554
NM_145362	NM_145362 -> Q921Q3-1	reviewed	NM_145362	NM_145362 -> Q921Q3-1	Q921Q3	ALG1_MOUSE	reviewed	"Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1 homolog) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase)"	Alg1	Mus musculus (Mouse)	482
NM_145477		unreviewed	NM_145477		Q8VCA2	Q8VCA2_MOUSE	unreviewed	Mannosyltransferase (EC 2.4.1.-)	Alg12 mCG_7282	Mus musculus (Mouse)	385
NM_145477		reviewed	NM_145477		Q8VDB2	ALG12_MOUSE	reviewed	"Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12 homolog) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Mannosyltransferase ALG12 homolog)"	Alg12	Mus musculus (Mouse)	486
NM_026247	NM_026247 -> Q9D8C3-2	reviewed	NM_026247	NM_026247 -> Q9D8C3-2	Q9D8C3	ALG13_MOUSE	reviewed	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (EC 2.4.1.141) (EC 3.4.19.12) (Asparagine-linked glycosylation 13 homolog) (Glycosyltransferase 28 domain-containing protein 1) (UDP-N-acetylglucosamine transferase subunit ALG13 homolog)	Alg13 Glt28d1	Mus musculus (Mouse)	1166
NM_019998		reviewed	NM_019998		Q9DBE8	ALG2_MOUSE	reviewed	"Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)"	Alg2 MNCb-5081	Mus musculus (Mouse)	415
NM_133981		reviewed	NM_133981		Q8VDI9	ALG9_MOUSE	reviewed	"Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)"	Alg9	Mus musculus (Mouse)	611
NM_007693		reviewed	NM_007693		P26339	CMGA_MOUSE	reviewed	Chromogranin-A (CgA) [Cleaved into: Pancreastatin; Beta-granin; WE-14; Catestatin; GE-25; Serpinin-RRG; Serpinin (AL26); p-Glu serpinin precursor]	Chga	Mus musculus (Mouse)	463
NM_010072		reviewed	NM_010072		O70152	DPM1_MOUSE	reviewed	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase)	Dpm1	Mus musculus (Mouse)	260
NM_010073		unreviewed	NM_010073		Q545R7	Q545R7_MOUSE	unreviewed	Dolichol-phosphate (Beta-D) mannosyltransferase 2	Dpm2 mCG_18560	Mus musculus (Mouse)	84
NM_010073		reviewed	NM_010073		Q9Z324	DPM2_MOUSE	reviewed	Dolichol phosphate-mannose biosynthesis regulatory protein (Dolichol-phosphate mannose synthase subunit 2) (DPM synthase subunit 2)	Dpm2	Mus musculus (Mouse)	84
NM_011081		unreviewed	NM_011081		A2AIH5	A2AIH5_MOUSE	unreviewed	"Phosphatidylinositol glycan anchor biosynthesis, class A"	Piga	Mus musculus (Mouse)	485
NM_011081		reviewed	NM_011081		Q64323	PIGA_MOUSE	reviewed	N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein (GlcNAc-PI synthesis protein) (Phosphatidylinositol-glycan biosynthesis class A protein) (PIG-A)	Piga	Mus musculus (Mouse)	485
NM_018889		reviewed	NM_018889		Q9JJQ0	PIGB_MOUSE	reviewed	GPI mannosyltransferase 3 (EC 2.4.1.-) (GPI mannosyltransferase III) (GPI-MT-III) (Phosphatidylinositol-glycan biosynthesis class B protein) (PIG-B)	Pigb	Mus musculus (Mouse)	542
NM_026234		reviewed	NM_026234		Q8C2R7	PIGM_MOUSE	reviewed	GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M)	Pigm	Mus musculus (Mouse)	423
NM_011822		unreviewed	NM_011822		Q3TF56	Q3TF56_MOUSE	unreviewed	"Phosphatidylinositol glycan anchor biosynthesis, class Q"	Pigq mCG_1573	Mus musculus (Mouse)	581
NM_011822		reviewed	NM_011822		Q9QYT7	PIGQ_MOUSE	reviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q (EC 2.4.1.198) (MGpi1p) (N-acetylglucosamyl transferase component GPI1) (Phosphatidylinositol-glycan biosynthesis class Q protein) (PIG-Q)	Pigq Gpi1h Mgpi1	Mus musculus (Mouse)	581
NM_145145		reviewed	NM_145145		Q8R2R1	POMT1_MOUSE	reviewed	Protein O-mannosyl-transferase 1 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 1)	Pomt1	Mus musculus (Mouse)	746
NM_153415	NM_153415 -> Q8BGQ4-1	reviewed	NM_153415	NM_153415 -> Q8BGQ4-1	Q8BGQ4	POMT2_MOUSE	reviewed	Protein O-mannosyl-transferase 2 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 2)	Pomt2	Mus musculus (Mouse)	820
NM_033320		reviewed	NM_033320		Q9EPS3	GLCE_MOUSE	reviewed	D-glucuronyl C5-epimerase (EC 5.1.3.17) (Heparan sulfate C5-epimerase) (Hsepi) (Heparin sulfate C5-epimerase) (Heparin/heparan sulfate:glucuronic acid C5-epimerase) (Heparosan-N-sulfate-glucuronate 5-epimerase)	Glce	Mus musculus (Mouse)	618
NM_010015		reviewed	NM_010015		P61804	DAD1_MOUSE	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (DAD-1)	Dad1	Mus musculus (Mouse)	113
NM_007838		reviewed	NM_007838		O54734	OST48_MOUSE	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit)	Ddost	Mus musculus (Mouse)	441
NM_133933		unreviewed	NM_133933		Q5RKP4	Q5RKP4_MOUSE	unreviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Fragment)	Rpn1	Mus musculus (Mouse)	607
NM_133933		unreviewed	NM_133933		Q8BMR3	Q8BMR3_MOUSE	unreviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	Rpn1	Mus musculus (Mouse)	608
NM_133933		reviewed	NM_133933		Q91YQ5	RPN1_MOUSE	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)	Rpn1	Mus musculus (Mouse)	608
NM_019642		reviewed	NM_019642		Q9DBG6	RPN2_MOUSE	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (Ribophorin II) (RPN-II) (Ribophorin-2)	Rpn2	Mus musculus (Mouse)	631
NM_018784		reviewed	NM_018784		Q8VIB3	SIA10_MOUSE	reviewed	"Type 2 lactosamine alpha-2,3-sialyltransferase (EC 2.4.99.-) (CMP-NeuAc:beta-galactoside alpha-2,3-sialyltransferase VI) (ST3Gal VI) (ST3GalVI) (Sialyltransferase 10)"	St3gal6 Siat10	Mus musculus (Mouse)	329
NM_009177		reviewed	NM_009177		P54751	SIA4A_MOUSE	reviewed	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 (Alpha 2,3-ST 1) (Beta-galactoside alpha-2,3-sialyltransferase 1) (EC 2.4.99.4) (Gal-NAc6S) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (ST3Gal I) (ST3GalI) (ST3GalA.1) (ST3O) (Sialyltransferase 4A) (SIAT4-A)"	St3gal1 Siat4 Siat4a	Mus musculus (Mouse)	337
NM_009177		unreviewed	NM_009177		Q544T4	Q544T4_MOUSE	unreviewed	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1 (St3gal1 protein)"	St3gal1 mCG_8909	Mus musculus (Mouse)	337
NM_009179		reviewed	NM_009179		Q11204	SIA4B_MOUSE	reviewed	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2 (Alpha 2,3-ST 2) (Beta-galactoside alpha-2,3-sialyltransferase 2) (EC 2.4.99.4) (Gal-NAc6S) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (ST3Gal II) (ST3GalII) (ST3GalA.2) (Sialyltransferase 4B) (SIAT4-B)"	St3gal2 Siat4b Siat5	Mus musculus (Mouse)	350
NM_009176		reviewed	NM_009176		P97325	SIAT6_MOUSE	reviewed	"CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.6) (Beta-galactoside alpha-2,3-sialyltransferase 3) (Alpha 2,3-ST 3) (Gal beta-1,3(4) GlcNAc alpha-2,3 sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal III) (ST3GalIII) (ST3N) (Sialyltransferase 6)"	St3gal3 Siat3 Siat6	Mus musculus (Mouse)	374
NM_009176		unreviewed	NM_009176		Q3UWD5	Q3UWD5_MOUSE	unreviewed	Uncharacterized protein	St3gal3	Mus musculus (Mouse)	374
NM_009176		unreviewed	NM_009176		Q9DBB6	Q9DBB6_MOUSE	unreviewed	Uncharacterized protein	St3gal3 Siat6	Mus musculus (Mouse)	374
NM_009178		reviewed	NM_009178		Q91Y74	SIA4C_MOUSE	reviewed	"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 (Alpha 2,3-ST 4) (Beta-galactoside alpha-2,3-sialyltransferase 4) (EC 2.4.99.2) (EC 2.4.99.6) (Alpha 2,3-sialyltransferase IV) (Gal-beta-1,4-GalNAc-alpha-2,3-sialyltransferase) (ST3Gal IV) (ST3GalIV) (Sialyltransferase 4C) (SIAT4-C)"	St3gal4 Siat4c	Mus musculus (Mouse)	333
NM_011375		unreviewed	NM_011375		A0A0R4J1J3	A0A0R4J1J3_MOUSE	unreviewed	"Lactosylceramide alpha-2,3-sialyltransferase (ST3 beta-galactoside alpha-2,3-sialyltransferase 5, isoform CRA_b)"	St3gal5 mCG_129300	Mus musculus (Mouse)	387
NM_011375		reviewed	NM_011375		O88829	SIAT9_MOUSE	reviewed	"Lactosylceramide alpha-2,3-sialyltransferase (EC 2.4.99.9) (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase) (Ganglioside GM3 synthase) (ST3Gal V) (ST3GalV) (Sialyltransferase 9)"	St3gal5 GM3S Siat9	Mus musculus (Mouse)	414
NM_145933		reviewed	NM_145933		Q64685	SIAT1_MOUSE	reviewed	"Beta-galactoside alpha-2,6-sialyltransferase 1 (Alpha 2,6-ST 1) (EC 2.4.99.1) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 1) (ST6Gal I) (ST6GalI) (Sialyltransferase 1)"	St6gal1 Siat1	Mus musculus (Mouse)	403
NM_172829		unreviewed	NM_172829		B2RQY9	B2RQY9_MOUSE	unreviewed	"Beta galactoside alpha 2,6 sialyltransferase 2"	St6gal2	Mus musculus (Mouse)	438
NM_172829		reviewed	NM_172829		Q76K27	SIAT2_MOUSE	reviewed	"Beta-galactoside alpha-2,6-sialyltransferase 2 (Alpha 2,6-ST 2) (EC 2.4.99.1) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 2) (ST6Gal II) (ST6GalII) (Sialyltransferase 2)"	St6gal2 Kiaa1877	Mus musculus (Mouse)	524
NM_011371		reviewed	NM_011371		Q9QZ39	SIA7A_MOUSE	reviewed	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 (EC 2.4.99.3) (GalNAc alpha-2,6-sialyltransferase I) (ST6GalNAc I) (ST6GalNAcI) (Sialyltransferase 7A) (SIAT7-A)"	St6galnac1 Siat7a	Mus musculus (Mouse)	526
